child,parent,colour,sex,dob
BESS OF WALTON,BLACK NORTHERN BEAUTY,?,Female,01 January 0001
BELWAY SWIFT,BLACK NORTHERN BEAUTY,?,Male,12 June 1978
LANDYKE CHORISTER,BESS OF WALTON,?,Male,01 January 0001
FT CH DELWAY DELLA,BELWAY SWIFT,?,Female,01 January 0001
FT CH FLIGHTLINE STREAKER,BELWAY SWIFT,BLACK,Male,13 April 1974
FLIGHTLINE JAMMY,FT CH FLIGHTLINE STREAKER,BLACK,Female,29 January 1972
HEDENHAMPARK MALLARD,FT CH FLIGHTLINE STREAKER,BLACK,Male,13 April 1971
FLIGHTLINE TILLY,FLIGHTLINE JAMMY,?,Female,01 January 0001
FLIGHTLINE RAKE,FLIGHTLINE JAMMY,BLACK,Male,28 May 1969
FT CH HEDENHAMPARK HOLCOT FAY,HEDENHAMPARK MALLARD,?,Female,01 January 0001
ROCKSTEAD FOOTSWISH,HEDENHAMPARK MALLARD,?,Male,01 January 0001
FT CH WESTEAD SHOT OF DRAKESHEAD,GRAND SOVEREIGN,BLACK,Male,26 July 1974
FT CH DRAKESHEAD TINKER,FT CH BREEZE OF DRAKESHEAD,?,Male,01 January 0001
CARRINGTON FAY,FT CH BREEZE OF DRAKESHEAD,?,Female,01 January 0001
TEAL OF WHITE FEN DROVE,CARRINGTON FAY,?,Female,01 January 0001
ANGLESEY SWIFT,CARRINGTON FAY,?,Male,01 January 0001
HEDENHAMPARK MALLARD,TEAL OF WHITE FEN DROVE,BLACK,Male,13 April 1971
BUNTING OF MOAT LODGE,TEAL OF WHITE FEN DROVE,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,BUNTING OF MOAT LODGE,?,Male,01 January 0001
PEBBLINGS BESS,BUNTING OF MOAT LODGE,?,Female,01 January 0001
EYEBROOK WILLOW,ANGLESEY SWIFT,BLACK,Male,15 June 1974
FT CH HEDENHAMPARK BONNIE,ANGLESEY SWIFT,BLACK,Female,09 June 1968
FT CH PALGRAVE EDWARD,FT CH HEDENHAMPARK BONNIE,?,Male,01 January 0001
BEDINGHAM HALL JET,FT CH HEDENHAMPARK BONNIE,?,Female,01 January 0001
MEADOWBROOK LASS (IKC),KENMILLTRI PIPER,YELLOW,Female,08 August 2000
FT CH IR FT CH RAUGHLIN BAILEY OF TIRGARVE,KENMILLTRI PIPER,BLACK,Male,23 July 1996
KNOCKCUNNIER EXPRESS (IKC),MEADOWBROOK LASS (IKC),BLACK,Female,18 January 1998
IR FT CH BALLINTESKIN RANGER OF THEOWEIR (IKC),MEADOWBROOK LASS (IKC),YELLOW,Male,24 August 1995
FT CH IR FT CH ULSTARE OAK,KNOCKCUNNIER EXPRESS (IKC),BLACK,Male,03 June 1992
GLENBRIAR ALICE,FT CH IR FT CH ULSTARE OAK,BLACK,Female,04 May 1989
ASHBROOKE ALFIE,FT CH IR FT CH ULSTARE OAK,BLACK,Male,12 May 1988
FT CH HARETOR MARK OF DRAKESHEAD,GLENBRIAR ALICE,BLACK,Male,04 August 1983
IR FT CH GLENBRIAR SKIPPY,GLENBRIAR ALICE,BLACK,Female,09 May 1985
FT CH LEACROSS RINKALS,IR FT CH GLENBRIAR SKIPPY,BLACK,Male,26 March 1976
IR FT CH GLENBRIAR SWEEP,IR FT CH GLENBRIAR SKIPPY,BLACK,Female,08 June 1980
FT CH MEADOWBRAE WIDGEON,IR FT CH GLENBRIAR SWEEP,BLACK,Male,30 May 1974
DRUMNAGALLY BESS,IR FT CH GLENBRIAR SWEEP,YELLOW,Female,19 January 1976
CUSHER KINKY,DRUMNAGALLY BESS,?,Female,01 January 0001
KINRAY SILVER LADY,CUSHER KINKY,?,Female,01 January 0001
DUKE OF DOWN,CUSHER KINKY,BLACK,Male,19 September 1968
ARSAIG DEBORAH,DUKE OF DOWN,?,Female,01 January 0001
PRIDE OF COUNTY DOWN,DUKE OF DOWN,?,Male,01 January 0001
IR FT CH ANN OF CLEARY,ASHBROOKE ALFIE,?,Female,02 April 1979
FT CH SWINBROOK TWIG,ASHBROOKE ALFIE,BLACK,Male,08 May 1984
FT CH PALGRAVE KAY,FT CH SWINBROOK TWIG,?,Female,05 May 1978
FT CH DRAKESHEAD ACTOR OF SHOTGATE,FT CH SWINBROOK TWIG,BLACK,Male,18 April 1977
FT CH PALGRAVE SWINBROOK FERN,FT CH PALGRAVE KAY,?,Female,01 January 0001
FT CH SHOT OF PALGRAVE,FT CH PALGRAVE KAY,BLACK,Male,26 May 1974
FT CH HOLDGATE WILLIE,FT CH DRAKESHEAD ACTOR OF SHOTGATE,BLACK,Male,06 June 1969
FT CH WESTEAD TAN OF DRAKESHEAD,FT CH DRAKESHEAD ACTOR OF SHOTGATE,BLACK,Female,26 July 1974
FT CH IR FT CH THEOWEIR TURRAMURRA TEAL (IKC),IR FT CH BALLINTESKIN RANGER OF THEOWEIR (IKC),YELLOW,Male,27 February 1988
RAUGHLIN KATE,FT CH IR FT CH RAUGHLIN BAILEY OF TIRGARVE,BLACK,Female,07 April 1993
FT CH TROOPER TAM OF LOCHMUIR,FT CH IR FT CH RAUGHLIN BAILEY OF TIRGARVE,BLACK,Male,15 May 1992
IR FT CH  RAUGHLIN EPPY,RAUGHLIN KATE,YELLOW,Female,23 January 1987
FT CH BIRDBROOK TEAK,RAUGHLIN KATE,BLACK,Male,15 June 1988
FT CH GLENCOIN DRUMMER OF DRAKESHEAD,IR FT CH  RAUGHLIN EPPY,YELLOW,Male,09 March 1978
IR FT CH RAUGHLIN ROSE,IR FT CH  RAUGHLIN EPPY,BLACK,Female,30 April 1980
FT CH LEACROSS RINKALS,IR FT CH RAUGHLIN ROSE,BLACK,Male,26 March 1976
FT CH RAUGHLIN WHIPPET,IR FT CH RAUGHLIN ROSE,BLACK,Female,12 May 1975
FT CH BERRYSTEAD GLENBRUAR BEAU,FT CH RAUGHLIN WHIPPET,?,Male,01 January 0001
MUSHBROOK MAIZE,FT CH RAUGHLIN WHIPPET,BLACK,Female,25 February 1971
FT CH SENDHURST SWEEP,MUSHBROOK MAIZE,?,Male,01 January 0001
MUSHBROOK GYPSEY,MUSHBROOK MAIZE,?,Female,01 January 0001
FT CH GREENWOOD TIMOTHY OF HOLDGATE,FT CH BIRDBROOK TEAK,?,Male,24 March 1979
FT CH PURDEY OF BONHOTE OF BIRDBROOK,FT CH BIRDBROOK TEAK,BLACK,Female,06 July 1983
GLEBEMOORE SARA,FT CH PURDEY OF BONHOTE OF BIRDBROOK,BLACK,Female,25 July 1977
DUSTY OF BULBECK,FT CH PURDEY OF BONHOTE OF BIRDBROOK,BLACK,Male,11 March 1980
FT CH SWINBROOK TAN,GLEBEMOORE SARA,?,Male,01 January 0001
KENALEY TINKER,GLEBEMOORE SARA,?,Female,01 January 0001
SANDRINGHAM SAILOR,KENALEY TINKER,?,Male,01 January 0001
KENALEY LADY,KENALEY TINKER,?,Female,01 January 0001
FT CH SENDHURST SWEEP,KENALEY LADY,?,Male,01 January 0001
DUNSFOLD DANCER,KENALEY LADY,?,Female,01 January 0001
PALGRAVE HETTY,DUSTY OF BULBECK,BLACK,Female,01 February 1976
FT CH KENSWICK HAMISH,DUSTY OF BULBECK,BLACK,Male,05 July 1976
FT CH PALGRAVE SWINBROOK FERN,PALGRAVE HETTY,?,Female,01 January 0001
EYEBROOK WILLOW,PALGRAVE HETTY,BLACK,Male,15 June 1974
FT CH STONNER POINT BE HOPEFUL OF KENSWICK,FT CH KENSWICK HAMISH,BLACK,Female,13 April 1971
FT CH DANBRIAS BLACK TERN,FT CH KENSWICK HAMISH,?,Male,01 January 0001
FT CH HEDENHAMPARK HOLCOT FAY,FT CH STONNER POINT BE HOPEFUL OF KENSWICK,?,Female,01 January 0001
ROCKSTEAD FOOTSWISH,FT CH STONNER POINT BE HOPEFUL OF KENSWICK,?,Male,01 January 0001
FT CH SENDHURST ZELSTONE TINKER,FT CH DANBRIAS BLACK TERN,?,Male,01 January 0001
MUGDRUM HEROINE,FT CH TROOPER TAM OF LOCHMUIR,BLACK,Female,16 May 1987
FT CH SYMINGTON CLARERONE OF LEADBURN,FT CH TROOPER TAM OF LOCHMUIR,BLACK,Male,15 May 1989
BONNY FLORENCE ELLEN,MUGDRUM HEROINE,BLACK,Female,30 April 1982
LANG OF DRUMOUR,MUGDRUM HEROINE,BLACK,Male,03 September 1985
KENWELL LADY MARY,BONNY FLORENCE ELLEN,BLACK,Female,21 April 1979
BUDDONS BENJEMAN,BONNY FLORENCE ELLEN,BLACK,Male,11 May 1980
KENWELL LADY KATRINA,KENWELL LADY MARY,?,Female,01 January 0001
STYLESIDE JAMDON,KENWELL LADY MARY,?,Male,31 March 1977
ARBURY JENNY,BUDDONS BENJEMAN,?,Female,01 January 0001
FT CH HEDENHAMPARK DASH OF PHILRAY,BUDDONS BENJEMAN,BLACK,Male,01 July 1973
CLAYLANDS SLOE,ARBURY JENNY,?,Female,01 January 0001
JERICHO JINGO,ARBURY JENNY,?,Male,01 January 0001
CLAYLANDS POOLSTEAD PIDGEON,CLAYLANDS SLOE,?,Female,01 January 0001
REANACRE KIRBYHALL TRUMPS,CLAYLANDS SLOE,?,Male,01 January 0001
SH CH TADFIELD BLACK SHADOW,REANACRE KIRBYHALL TRUMPS,?,Male,01 January 0001
ROCKSTEAD FOOTSWISH,JERICHO JINGO,?,Male,01 January 0001
FT CH HEDENHAMPARK HOLCOT FAY,FT CH HEDENHAMPARK DASH OF PHILRAY,?,Female,01 January 0001
DONGON THE GREAT,FT CH HEDENHAMPARK DASH OF PHILRAY,?,Male,01 January 0001
FT CH GREATFORD PARK,DONGON THE GREAT,?,Male,01 January 0001
SANDRINGHAM HOLLY,DONGON THE GREAT,?,Female,01 January 0001
ALPINE BESS,LANG OF DRUMOUR,?,Female,01 January 0001
CROFTAMIE ECHO,LANG OF DRUMOUR,BLACK,Male,15 April 1982
FT CH SPUDTAMSONS BERRY OF MIRSTAN,ALPINE BESS,?,Male,01 January 0001
BOROUGHMSAL PURDY,ALPINE BESS,?,Female,24 June 1977
FT CH HOLDGATE WILLIE,BOROUGHMSAL PURDY,BLACK,Male,06 June 1969
SUE OF BROTHERTOFT,BOROUGHMSAL PURDY,?,Female,01 January 0001
JERICHO JINGO,SUE OF BROTHERTOFT,?,Male,01 January 0001
MEGAN OF BRASSINGTON,SUE OF BROTHERTOFT,?,Female,01 January 0001
FT CH SANDRINGHAM SYDNEY,MEGAN OF BRASSINGTON,YELLOW,Male,14 May 1970
BLYBRO SUSIE,MEGAN OF BRASSINGTON,?,Female,01 January 0001
LINCOLN SMUTTY,BLYBRO SUSIE,?,Female,01 January 0001
SANDRINGHAM BLISS,BLYBRO SUSIE,?,Male,01 January 0001
CROFTAMIE DOT,CROFTAMIE ECHO,?,Female,01 January 0001
WELSTONE DAVY,CROFTAMIE ECHO,BLACK,Male,17 May 1979
STAXIGOE SCROLL,CROFTAMIE DOT,BLACK,Female,18 March 1974
FT CH POLWARTH MERGANSER,CROFTAMIE DOT,BLACK,Male,21 March 1975
BLAYDONNA MEG,STAXIGOE SCROLL,?,Female,01 January 0001
SCREED OF STAXIGOE,STAXIGOE SCROLL,BLACK,Male,13 February 1971
FT CH SWINBROOK TAN,FT CH POLWARTH MERGANSER,?,Male,01 January 0001
FT CH TRENTLOCK BEAT,FT CH POLWARTH MERGANSER,BLACK,Female,01 June 1966
FT CH MARGERY WING STAG,FT CH TRENTLOCK BEAT,?,Male,01 January 0001
FT CH WELSTON BONNIE,WELSTONE DAVY,BLACK,Female,06 April 1974
FT CH STRATFIELDSAYE DIPPER,WELSTONE DAVY,BLACK,Male,13 May 1974
FT CH HOLDGATE WILLIE,FT CH WELSTON BONNIE,BLACK,Male,06 June 1969
AUCHTERMUCHTY PAM,FT CH WELSTON BONNIE,?,Female,01 January 0001
CIDDYHAYFIELD TANSY,FT CH STRATFIELDSAYE DIPPER,?,Female,01 January 0001
FT CH STRATFIELDSAYE BEINNMHOR LOMOND,FT CH STRATFIELDSAYE DIPPER,BLACK,Male,22 April 1969
CIDDY HALL SUSIE,CIDDYHAYFIELD TANSY,?,Female,01 January 0001
STRATFIELDSAYE SPEY,CIDDYHAYFIELD TANSY,?,Male,01 January 0001
CIDDY HALL BESS,CIDDY HALL SUSIE,?,Female,01 January 0001
STOURCREEK SAITMASH PINZA,CIDDY HALL SUSIE,?,Male,01 January 0001
FT CH HIWOOD DIPPER,STRATFIELDSAYE SPEY,?,Male,01 January 0001
FT CH CORNBURY RURO TEAL,FT CH STRATFIELDSAYE BEINNMHOR LOMOND,?,Female,01 January 0001
SCOTNEY MAREE,FT CH STRATFIELDSAYE BEINNMHOR LOMOND,?,Male,01 January 0001
PALGRAVE SLIPPERY SUE,FT CH SYMINGTON CLARERONE OF LEADBURN,BLACK,Female,21 February 1983
FT CH TIBEA TOSH,FT CH SYMINGTON CLARERONE OF LEADBURN,BLACK,Male,20 March 1986
FT CH PALGRAVE HOLLY,PALGRAVE SLIPPERY SUE,BLACK,Female,01 February 1976
FT CH KENSWICK HAMISH,PALGRAVE SLIPPERY SUE,BLACK,Male,05 July 1976
FT CH PALGRAVE QUIN,FT CH TIBEA TOSH,BLACK,Male,08 March 1982
FT CH TIBEA TOPAZ,FT CH TIBEA TOSH,BLACK,Female,14 June 1978
FT CH ODAY ALICE OF TIBEA,FT CH TIBEA TOPAZ,BLACK,Female,14 August 1971
FT CH HEDENHAMPARK DASH OF PHILRAY,FT CH TIBEA TOPAZ,BLACK,Male,01 July 1973
OAKLEAF GAIL,OAKLEAF BOZO,BLACK,Female,10 October 2006
IR FT CH GLENLOCH RUFF,OAKLEAF BOZO,BLACK,Male,28 April 2005
SHANGARRILYN KIM OF COPPERBIRCH,OAKLEAF GAIL,BLACK,Female,25 February 2005
IR FT CH DONAGHAGUY GARNET,OAKLEAF GAIL,BLACK,Male,06 March 2002
PREMIERLEEK CLASSIC OF SHANGARRILYN,SHANGARRILYN KIM OF COPPERBIRCH,BLACK,Female,25 April 1999
FT CH SAXAPHONE EXPRESS,SHANGARRILYN KIM OF COPPERBIRCH,BLACK,Male,31 March 1995
FT CH SYMINGTON CLARERONE OF LEADBURN,PREMIERLEEK CLASSIC OF SHANGARRILYN,BLACK,Male,15 May 1989
SHANGARRILYN GYPSY,PREMIERLEEK CLASSIC OF SHANGARRILYN,BLACK,Female,25 July 1992
GLENBRIAR DASH,SHANGARRILYN GYPSY,BLACK,Female,23 November 1987
FT CH MIDDLEGATE DEXTER OF DRAKESHEAD,SHANGARRILYN GYPSY,BLACK,Male,09 August 1989
IR FT CH GLENBRIAR SWEEP,GLENBRIAR DASH,BLACK,Female,08 June 1980
IR FT CH BROADVILLE BARRISTER (IMP),GLENBRIAR DASH,BLACK,Male,06 June 1984
IR FT CH DRAKESHEAD CONNIE,IR FT CH BROADVILLE BARRISTER (IMP),?,Female,05 February 1979
CIAROG DUBH,IR FT CH BROADVILLE BARRISTER (IMP),BLACK,Male,13 July 1982
FT CH DRAKESHEAD WISP,CIAROG DUBH,BLACK,Female,11 June 1976
FT CH POCKLINGTON GLEN,CIAROG DUBH,BLACK,Male,02 June 1978
FT CH WESTEAD TAN OF DRAKESHEAD,FT CH DRAKESHEAD WISP,BLACK,Female,26 July 1974
GALLOWMILL BRIGG,FT CH DRAKESHEAD WISP,BLACK,Male,18 June 1971
FT CH SENDHURST SWEEP,GALLOWMILL BRIGG,?,Male,01 January 0001
SPUDTAMSONS KENNEL MAID,GALLOWMILL BRIGG,?,Female,01 January 0001
SPUDTAMSONS ISABELL,SPUDTAMSONS KENNEL MAID,?,Female,01 January 0001
FT CH SWINBROOK TAN,FT CH POCKLINGTON GLEN,?,Male,01 January 0001
FT CH SANDRINGHAM MAGPIE,FT CH POCKLINGTON GLEN,BLACK,Female,08 April 1972
FT CH HARETOR MARK OF DRAKESHEAD,FT CH MIDDLEGATE DEXTER OF DRAKESHEAD,BLACK,Male,04 August 1983
FT CH POCKLEA TIDE OF MIDDLEGATE,FT CH MIDDLEGATE DEXTER OF DRAKESHEAD,BLACK,Female,22 April 1985
DRAKESHEAD GYPSY,FT CH POCKLEA TIDE OF MIDDLEGATE,BLACK,Female,24 March 1980
FT CH BREEZE OF DRAKESHEAD,FT CH POCKLEA TIDE OF MIDDLEGATE,BLACK,Male,28 December 1981
MALLOWDALE DORA OF SAXAPHONE,FT CH SAXAPHONE EXPRESS,BLACK,Female,11 November 1990
FT CH LAFAYETTE TOLLEY,FT CH SAXAPHONE EXPRESS,YELLOW,Male,14 April 1991
FT CH PALGRAVE QUIN,MALLOWDALE DORA OF SAXAPHONE,BLACK,Male,08 March 1982
WILTONPARK CAROUSEL,MALLOWDALE DORA OF SAXAPHONE,YELLOW,Female,21 April 1988
FT CH SWINBROOK TWIG,WILTONPARK CAROUSEL,BLACK,Male,08 May 1984
FT CH PARK LANE JENNY,WILTONPARK CAROUSEL,YELLOW,Female,19 April 1982
FT CH GREENWOOD TIMOTHY OF HOLDGATE,FT CH PARK LANE JENNY,?,Male,24 March 1979
WHISP OF CANDY,FT CH PARK LANE JENNY,?,Female,04 August 1976
QUEENDYKE LADY,WHISP OF CANDY,?,Female,01 January 0001
SANDRINGHAM SHOT,WHISP OF CANDY,BLACK,Male,21 April 1973
GARROWBY LADY,QUEENDYKE LADY,BLACK,Female,04 June 1968
SEAMAN BRACKEN,QUEENDYKE LADY,?,Male,01 January 0001
MANDY OF RETFORD,GARROWBY LADY,?,Female,01 January 0001
DRAKE OF RISE,GARROWBY LADY,?,Male,01 January 0001
FT CH HOLDGATE WILLIE,SANDRINGHAM SHOT,BLACK,Male,06 June 1969
FT CH SHERRY OF BITEABOUT,SANDRINGHAM SHOT,?,Female,01 January 0001
BLACK PURDEY OF KESWICK,FT CH LAFAYETTE TOLLEY,BLACK,Female,07 July 1987
FT CH KILDERKIN RENOIR,FT CH LAFAYETTE TOLLEY,BLACK,Male,26 May 1984
BEDINGHAMHALL DONNA,BLACK PURDEY OF KESWICK,BLACK,Female,14 July 1983
FT CH SHINSHAIL APACHE,BLACK PURDEY OF KESWICK,BLACK,Male,12 May 1978
SHADOW OF DAWN OF BEDINGHAMHALL,BEDINGHAMHALL DONNA,BLACK,Female,20 June 1980
BEDINGHAMHALL BRIG,BEDINGHAMHALL DONNA,BLACK,Male,05 September 1980
FLEET OF BEDINGHAM HALL,SHADOW OF DAWN OF BEDINGHAMHALL,?,Female,01 January 0001
BEDINGHAM HALL TEAL,SHADOW OF DAWN OF BEDINGHAMHALL,BLACK,Male,26 June 1978
SWINBROOK FIZZ,FLEET OF BEDINGHAM HALL,?,Female,01 January 0001
BURY OF BEDINGHAMHALL,FLEET OF BEDINGHAM HALL,BLACK,Male,13 March 1972
FT CH BEINNMHOR TIDE,SWINBROOK FIZZ,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,SWINBROOK FIZZ,?,Male,01 January 0001
FT CH HEDENHAMPARK HOLCOT FAY,BURY OF BEDINGHAMHALL,?,Female,01 January 0001
FT CH BEDINGHAMHALL SOOT,BURY OF BEDINGHAMHALL,?,Male,01 January 0001
FT CH PALGRAVE EDWARD,FT CH BEDINGHAMHALL SOOT,?,Male,01 January 0001
BEDINGHAMHALL JET,FT CH BEDINGHAMHALL SOOT,?,Female,01 January 0001
BEE OF BEDINGHAM HALL,BEDINGHAMHALL BRIG,BLACK,Female,13 March 1972
FT CH BLACK DUSK OF RIDLINGTON,BEDINGHAMHALL BRIG,?,Male,20 May 1978
FT CH HEDENHAMPARK HOLCOT FAY,BEE OF BEDINGHAM HALL,?,Female,01 January 0001
FT CH BEDINGHAMHALL SOOT,BEE OF BEDINGHAM HALL,?,Male,01 January 0001
FT CH HEDENHAMPARK DASH OF PHILRAY,FT CH BLACK DUSK OF RIDLINGTON,BLACK,Male,01 July 1973
PALGRAVE HEIDI,FT CH BLACK DUSK OF RIDLINGTON,BLACK,Female,01 February 1976
FT CH PALGRAVE SWINBROOK FERN,PALGRAVE HEIDI,?,Female,01 January 0001
EYEBROOK WILLOW,PALGRAVE HEIDI,BLACK,Male,15 June 1974
HOLLYBERRY TEAL,FT CH SHINSHAIL APACHE,?,Female,01 January 0001
COMBE CASTLE CHILBROOK,FT CH SHINSHAIL APACHE,BLACK,Male,12 April 1973
SHILL CINDERELLA,HOLLYBERRY TEAL,?,Female,01 January 0001
LUGWARDINE JUDGE,HOLLYBERRY TEAL,BLACK,Male,13 June 1968
THUMBLANDS MOONA,SHILL CINDERELLA,?,Female,01 January 0001
CH KIMBO OF ARDMARGHA,SHILL CINDERELLA,?,Male,01 January 0001
DIANT JAYSCREEN JASPER,CH KIMBO OF ARDMARGHA,?,Male,01 January 0001
FT CH HOLDGATE VESTA,LUGWARDINE JUDGE,?,Female,01 January 0001
JERICO ROCKET,LUGWARDINE JUDGE,?,Male,01 January 0001
SHANBALLY SUE,COMBE CASTLE CHILBROOK,?,Female,01 January 0001
SWINBROOK RUSH,COMBE CASTLE CHILBROOK,?,Male,01 January 0001
SHANBALLY SHEBA,SHANBALLY SUE,?,Female,01 January 0001
MAINDYKE BREWER,SHANBALLY SUE,?,Male,01 January 0001
FT CH CH CREEDYPARK DIGGER,MAINDYKE BREWER,?,Male,01 January 0001
FT CH BEINNMHOR TIDE,SWINBROOK RUSH,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,SWINBROOK RUSH,?,Male,01 January 0001
PLUMMER KILDERKIN,FT CH KILDERKIN RENOIR,BLACK,Female,29 May 1977
FT CH ABBOTSLEIGH JOSHUA,FT CH KILDERKIN RENOIR,BLACK,Male,23 February 1976
FT CH HEDENHAMPARK DASH OF PHILRAY,PLUMMER KILDERKIN,BLACK,Male,01 July 1973
FT CH EARSHAM PARK HOLLY,PLUMMER KILDERKIN,BLACK,Female,12 April 1971
FT CH BEDINGHAMHALL SOOT,FT CH EARSHAM PARK HOLLY,?,Male,01 January 0001
BRECKNOCK BESS,FT CH EARSHAM PARK HOLLY,?,Female,01 January 0001
FT CH SENDHURST SWEEP,BRECKNOCK BESS,?,Male,01 January 0001
PLASHBROOK PEACHY,BRECKNOCK BESS,?,Female,01 January 0001
FRIARSGRANGE SUNSHINE,PLASHBROOK PEACHY,?,Female,01 January 0001
SUSAN OF BRACKENBANK,FT CH ABBOTSLEIGH JOSHUA,?,Female,01 January 0001
ANGLETOWNS BLACK MAGIC,FT CH ABBOTSLEIGH JOSHUA,?,Male,01 January 0001
BRACKENBANK VICKY,SUSAN OF BRACKENBANK,?,Female,01 January 0001
BRACKENBANK JOSHUA,SUSAN OF BRACKENBANK,?,Male,01 January 0001
BRACKENBANK VERA,BRACKENBANK VICKY,?,Female,01 January 0001
FT CH FT CH BRACKENBANK TANNER,BRACKENBANK VICKY,?,Male,01 January 0001
HIWOOD SCOTER,BRACKENBANK VERA,?,Male,01 January 0001
BRACKENBANK GYRN CHUILLINN,FT CH FT CH BRACKENBANK TANNER,?,Female,01 January 0001
FT CH BRACKENBANK JASPER,FT CH FT CH BRACKENBANK TANNER,?,Male,01 January 0001
HENSHAW DEANA,BRACKENBANK JOSHUA,?,Female,01 January 0001
BRACKENBANK MACKEREL,BRACKENBANK JOSHUA,?,Male,01 January 0001
BROMLEY GREEN JUDITH,HENSHAW DEANA,?,Female,01 January 0001
BRACKENBANK GRILSE,HENSHAW DEANA,?,Male,01 January 0001
BRACKENBANK VILAN,BRACKENBANK MACKEREL,?,Female,01 January 0001
BRACKENBANK PARSON,BRACKENBANK MACKEREL,?,Male,01 January 0001
BRACKENBANK VERA,BRACKENBANK VILAN,?,Female,01 January 0001
FT CH SWINBROOK TAN,ANGLETOWNS BLACK MAGIC,?,Male,01 January 0001
FT CH ANGELTOWN'S BLACK SAPHIRE,ANGLETOWNS BLACK MAGIC,?,Female,01 January 0001
LITTLE ANGEL,FT CH ANGELTOWN'S BLACK SAPHIRE,?,Female,01 January 0001
JERICHO JOKER,FT CH ANGELTOWN'S BLACK SAPHIRE,?,Male,01 January 0001
DONAGHAGUY HOLLY,IR FT CH DONAGHAGUY GARNET,BLACK,Female,27 December 1998
IR FT CH  GARY OF CLONBARA (IKC),IR FT CH DONAGHAGUY GARNET,BLACK,Male,05 September 1998
SHADOW LADY ROSE OF DONAGHAGUY,DONAGHAGUY HOLLY,BLACK,Female,30 November 1992
DOLYCOED BRAVO,DONAGHAGUY HOLLY,BLACK,Male,12 February 1997
GLENBRIAR ANNIE,SHADOW LADY ROSE OF DONAGHAGUY,BLACK,Female,04 May 1989
FT CH GLENBRIAR DARE,SHADOW LADY ROSE OF DONAGHAGUY,BLACK,Male,18 April 1984
FT CH HARETOR MARK OF DRAKESHEAD,GLENBRIAR ANNIE,BLACK,Male,04 August 1983
IR FT CH GLENBRIAR SKIPPY,GLENBRIAR ANNIE,BLACK,Female,09 May 1985
IR FT CH GLENBRIAR SWEEP,FT CH GLENBRIAR DARE,BLACK,Female,08 June 1980
GLENBRIAR TROUPER,FT CH GLENBRIAR DARE,BLACK,Male,12 December 1979
FT CH SHOT OF PALGRAVE,GLENBRIAR TROUPER,BLACK,Male,26 May 1974
ZOEY OF PALGRAVE,GLENBRIAR TROUPER,?,Female,22 April 1977
GAY OF BERUITON,ZOEY OF PALGRAVE,?,Female,01 January 0001
TOBY OF OSPREY,ZOEY OF PALGRAVE,?,Male,01 January 0001
PENNY LOU CU,GAY OF BERUITON,?,Female,01 January 0001
VAIN MANDY,PENNY LOU CU,?,Female,01 January 0001
DEAN DAM GLIDER,PENNY LOU CU,?,Male,01 January 0001
FT CH HOLDGATE WILLIE,DEAN DAM GLIDER,BLACK,Male,06 June 1969
HOLDGATE RACEDALE OPAL,DEAN DAM GLIDER,?,Female,01 January 0001
BOUNCERADEE,HOLDGATE RACEDALE OPAL,?,Male,01 January 0001
HEDENHAMPARK MALLARD,TOBY OF OSPREY,BLACK,Male,13 April 1971
LEDENBROOK BONNIE,TOBY OF OSPREY,BLACK,Female,28 June 1970
DOLYCOED DELILAH,DOLYCOED BRAVO,YELLOW,Female,11 June 1994
BEEHOLME RISSI,DOLYCOED BRAVO,BLACK,Male,26 June 1993
STYLESIDE SEMOLA,DOLYCOED DELILAH,BLACK,Female,27 August 1986
FT CH AUGHACASLA SAM OF DRAKESHEAD (IKC),DOLYCOED DELILAH,BLACK,Male,19 May 1993
BERYN BLACK CHERRY,STYLESIDE SEMOLA,BLACK,Female,30 August 1980
STYLESIDE THISTLE,STYLESIDE SEMOLA,BLACK,Male,14 May 1978
FT CH SHOT OF PALGRAVE,BERYN BLACK CHERRY,BLACK,Male,26 May 1974
BERYN BLACK PEPPER,BERYN BLACK CHERRY,BLACK,Female,21 February 1977
FT CH BEDINGHAMHALL SOOT,BERYN BLACK PEPPER,?,Male,01 January 0001
GLENBURNIE FLAIR,BERYN BLACK PEPPER,BLACK,Female,22 April 1974
GLENBURNIE FERN,GLENBURNIE FLAIR,?,Female,01 January 0001
WELSTON TWIST,GLENBURNIE FLAIR,?,Male,01 January 0001
PATHEHEAD MIDGE,GLENBURNIE FERN,?,Female,01 January 0001
TRENTLOCK BARRY,GLENBURNIE FERN,?,Male,01 January 0001
FT CH GLENFARG DANTE,PATHEHEAD MIDGE,?,Male,01 January 0001
HEATHERETTE OF LOCKHART,WELSTON TWIST,?,Female,01 January 0001
WELSTON WEAVER,WELSTON TWIST,BLACK,Male,01 February 1971
NANDOJANE OF STYLESIDE,STYLESIDE THISTLE,BLACK,Female,13 March 1974
FT CH DRAKESHEAD SCOT OF PECHASI,STYLESIDE THISTLE,?,Male,01 January 0001
FT CH SWINBROOK TAN,NANDOJANE OF STYLESIDE,?,Male,01 January 0001
DIPPER OF DRAKESHEAD,FT CH DRAKESHEAD SCOT OF PECHASI,BLACK,Female,27 August 1971
FT CH PECHASI MAX,FT CH DRAKESHEAD SCOT OF PECHASI,?,Male,01 January 0001
